ProductID,ProductName,Category,Price
1,Product_1,Electronics,199
2,Product_2,Electronics,799
3,Product_3,Home,2499
4,Product_4,Sports,4999
5,Product_5,Home,2499
6,Product_6,Electronics,499
7,Product_7,Sports,199
8,Product_8,Sports,999
9,Product_9,Sports,999
10,Product_10,Sports,4999
11,Product_11,Home,799
12,Product_12,Fashion,799
13,Product_13,Electronics,199
14,Product_14,Fashion,199
15,Product_15,Electronics,4999
16,Product_16,Books,499
17,Product_17,Electronics,299
18,Product_18,Home,299
19,Product_19,Books,299
20,Product_20,Home,2499
21,Product_21,Electronics,799
22,Product_22,Books,199
23,Product_23,Books,299
24,Product_24,Sports,1499
25,Product_25,Fashion,799
26,Product_26,Fashion,799
27,Product_27,Fashion,2499
28,Product_28,Home,999
29,Product_29,Sports,1499
30,Product_30,Electronics,199
