CustomerID,Name,City,Gender
1,Customer_1,Delhi,Male
2,Customer_2,Hyderabad,Male
3,Customer_3,Bengaluru,Male
4,Customer_4,Delhi,Male
5,Customer_5,Kolkata,Male
6,Customer_6,Mumbai,Male
7,Customer_7,Bengaluru,Male
8,Customer_8,Mumbai,Male
9,Customer_9,Kolkata,Male
10,Customer_10,Ahmedabad,Female
11,Customer_11,Mumbai,Male
12,Customer_12,Kolkata,Female
13,Customer_13,Hyderabad,Male
14,Customer_14,Bengaluru,Female
15,Customer_15,Delhi,Male
16,Customer_16,Kolkata,Male
17,Customer_17,Chennai,Female
18,Customer_18,Hyderabad,Male
19,Customer_19,Ahmedabad,Male
20,Customer_20,Kolkata,Male
21,Customer_21,Hyderabad,Female
22,Customer_22,Bengaluru,Male
23,Customer_23,Mumbai,Male
24,Customer_24,Hyderabad,Male
25,Customer_25,Bengaluru,Male
26,Customer_26,Kolkata,Female
27,Customer_27,Ahmedabad,Female
28,Customer_28,Pune,Female
29,Customer_29,Chennai,Male
30,Customer_30,Hyderabad,Male
31,Customer_31,Pune,Male
32,Customer_32,Pune,Female
33,Customer_33,Kolkata,Female
34,Customer_34,Bengaluru,Female
35,Customer_35,Mumbai,Male
36,Customer_36,Mumbai,Female
37,Customer_37,Kolkata,Female
38,Customer_38,Delhi,Male
39,Customer_39,Chennai,Male
40,Customer_40,Ahmedabad,Female
41,Customer_41,Ahmedabad,Male
42,Customer_42,Hyderabad,Male
43,Customer_43,Bengaluru,Female
44,Customer_44,Kolkata,Female
45,Customer_45,Chennai,Male
46,Customer_46,Pune,Female
47,Customer_47,Delhi,Male
48,Customer_48,Delhi,Male
49,Customer_49,Pune,Female
50,Customer_50,Delhi,Female
51,Customer_51,Kolkata,Female
52,Customer_52,Hyderabad,Male
53,Customer_53,Delhi,Female
54,Customer_54,Chennai,Male
55,Customer_55,Hyderabad,Female
56,Customer_56,Pune,Female
57,Customer_57,Mumbai,Female
58,Customer_58,Pune,Male
59,Customer_59,Hyderabad,Male
60,Customer_60,Pune,Female
61,Customer_61,Pune,Male
62,Customer_62,Chennai,Female
63,Customer_63,Mumbai,Male
64,Customer_64,Chennai,Female
65,Customer_65,Bengaluru,Male
66,Customer_66,Bengaluru,Male
67,Customer_67,Delhi,Female
68,Customer_68,Delhi,Male
69,Customer_69,Pune,Female
70,Customer_70,Pune,Female
71,Customer_71,Kolkata,Male
72,Customer_72,Bengaluru,Female
73,Customer_73,Kolkata,Female
74,Customer_74,Ahmedabad,Female
75,Customer_75,Delhi,Male
76,Customer_76,Bengaluru,Male
77,Customer_77,Chennai,Male
78,Customer_78,Bengaluru,Male
79,Customer_79,Mumbai,Male
80,Customer_80,Mumbai,Male
81,Customer_81,Delhi,Male
82,Customer_82,Chennai,Male
83,Customer_83,Bengaluru,Female
84,Customer_84,Ahmedabad,Male
85,Customer_85,Pune,Female
86,Customer_86,Bengaluru,Female
87,Customer_87,Kolkata,Male
88,Customer_88,Delhi,Male
89,Customer_89,Kolkata,Female
90,Customer_90,Kolkata,Female
91,Customer_91,Ahmedabad,Male
92,Customer_92,Delhi,Male
93,Customer_93,Kolkata,Female
94,Customer_94,Delhi,Male
95,Customer_95,Bengaluru,Male
96,Customer_96,Ahmedabad,Male
97,Customer_97,Kolkata,Male
98,Customer_98,Hyderabad,Female
99,Customer_99,Bengaluru,Male
100,Customer_100,Ahmedabad,Male
